ID,Eccentricity
0,30
1,26
2,32
3,34
4,37
5,32
6,29
7,30
8,27
9,42
10,25
11,32
12,24
13,35
14,28
15,28
16,26
17,30
18,43
19,30
20,23
21,44
22,34
23,33
24,31
25,32
26,28
27,27
28,33
29,32
30,30
31,27
32,32
33,26
34,33
35,30
36,32
37,38
38,24
39,42
40,32
41,25
42,34
43,24
44,26
45,26
46,31
47,35
48,30
49,33
50,27
51,28
52,25
53,34
54,31
55,26
56,33
57,32
58,28
59,26
60,26
61,29
62,31
63,39
64,43
65,39
66,28
67,27
68,28
69,25
70,29
71,28
72,28
73,30
74,37
75,36
76,30
77,36
78,39
79,26
80,27
81,32
82,27
83,37
84,29
85,31
86,29
87,31
88,28
89,33
90,42
91,33
92,41
93,29
94,25
95,26
96,27
97,43
98,33
99,33
100,31
101,40
102,37
103,44
104,44
105,33
106,29
107,26
108,27
109,42
110,29
111,40
112,35
113,31
114,30
115,35
116,40
117,38
118,24
119,39
120,34
121,42
122,40
123,33
124,23
125,26
126,36
127,34
128,41
129,36
130,25
131,32
132,29
133,29
134,39
135,38
136,25
137,34
138,29
139,41
140,38
141,30
142,40
143,28
144,31
145,29
146,36
147,34
148,24
149,35
150,35
151,25
152,32
153,27
154,27
155,30
156,29
157,23
158,28
159,30
160,35
161,27
162,31
163,29
164,43
165,32
166,41
167,31
168,33
169,34
170,31
171,33
172,29
173,29
174,27
175,35
176,39
177,30
178,23
179,29
180,33
181,36
182,28
183,22
184,28
185,31
186,31
187,38
188,25
189,23
190,30
191,25
192,31
193,28
194,27
195,43
196,27
197,40
198,41
199,37
200,26
201,30
202,24
203,35
204,37
205,35
206,32
207,41
208,32
209,31
210,31
211,28
212,24
213,27
214,25
215,37
216,34
217,24
218,33
219,30
220,25
221,34
222,34
223,24
224,34
225,29
226,29
227,31
228,35
229,42
230,29
231,28
232,29
233,31
234,24
235,36
236,26
237,38
238,36
239,34
240,32
241,29
